,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,New Norfolk,AU,2020-02-22 17:58:24,-42.78,147.06,53.6,81,40,3.36,scattered clouds,0.0,0.0
1,Punta Arenas,CL,2020-02-22 17:54:49,-53.15,-70.92,71.6,52,100,10.29,overcast clouds,0.0,0.0
2,Avarua,CK,2020-02-22 17:58:25,-21.21,-159.78,82.4,83,93,8.05,light rain,0.94,0.0
3,Bardiyah,LY,2020-02-22 17:58:25,31.76,25.09,57.0,74,58,18.43,light rain,0.63,0.0
4,Sao Gabriel Da Cachoeira,BR,2020-02-22 17:58:25,-0.13,-67.09,82.4,88,75,2.24,broken clouds,0.0,0.0
5,Hermanus,ZA,2020-02-22 17:58:25,-34.42,19.23,66.0,99,100,1.99,light rain,0.12,0.0
6,Nuuk,GL,2020-02-22 17:58:25,64.18,-51.72,15.8,61,75,5.82,light shower snow,0.0,0.0
7,Brigantine,US,2020-02-22 17:58:26,39.41,-74.36,48.99,17,1,11.41,clear sky,0.0,0.0
8,Arman,RU,2020-02-22 17:58:26,59.7,150.17,-1.19,94,100,4.03,overcast clouds,0.0,0.0
9,Mabaruma,GY,2020-02-22 17:58:26,8.2,-59.78,85.03,61,88,2.55,light rain,0.56,0.0
10,Ushuaia,AR,2020-02-22 17:58:26,-54.8,-68.3,66.2,55,20,3.36,few clouds,0.0,0.0
11,Mataura,NZ,2020-02-22 17:58:27,-46.19,168.86,51.01,79,39,5.01,scattered clouds,0.0,0.0
12,Bathsheba,BB,2020-02-22 17:58:27,13.22,-59.52,84.2,66,20,12.75,few clouds,0.0,0.0
13,Liboro,PH,2020-02-22 17:58:27,13.82,122.73,72.25,88,6,9.33,clear sky,0.0,0.0
14,Lata,PT,2020-02-22 17:58:27,40.16,-8.33,64.4,63,16,10.29,few clouds,0.0,0.0
15,Riihimaki,FI,2020-02-22 17:58:27,60.74,24.78,42.01,93,75,24.16,light rain,0.0,0.0
