,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Georgetown,MY,89.6,few clouds,5.41,100.34,Cititel Penang
34,Samarai,PG,88.52,scattered clouds,-10.62,150.67,Nuli Sapi
39,Hervey Bay,AU,86.0,scattered clouds,-25.3,152.85,Shelly Bay Resort
59,Wewak,PG,82.24,light rain,-3.55,143.63,In Wewak Boutique Hotel
61,Butaritari,KI,80.94,moderate rain,3.07,172.79,Isles Sunset Lodge
63,Kavaratti,IN,84.2,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
64,Kahului,US,80.6,few clouds,20.89,-156.47,Maui Seaside Hotel
67,Luwuk,ID,84.36,light rain,-0.95,122.79,Hotel Santika Luwuk
71,Port-Gentil,GA,82.96,overcast clouds,-0.72,8.78,Fengshui Residence
73,Sampit,ID,82.81,light rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
86,Avarua,CK,82.4,clear sky,-21.21,-159.78,Paradise Inn
88,Isangel,VU,86.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
90,Santa Rosa,PH,88.0,few clouds,14.31,121.11,Sta Rosa Budget Room
101,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
102,San Lazaro,BZ,80.6,broken clouds,18.04,-88.66,
117,Acapulco,MX,80.6,clear sky,16.86,-99.89,Crowne Plaza Acapulco
120,Namatanai,PG,86.29,clear sky,-3.67,152.43,Namatanai Hotel
128,Carnarvon,AU,80.6,broken clouds,-24.87,113.63,Hospitality Carnarvon
129,Dawei,MM,82.08,clear sky,14.08,98.2,Hotel Dawei
131,Esperance,AU,82.4,broken clouds,-33.87,121.9,Hospitality Esperance
137,Pangai,TO,82.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
151,Hithadhoo,MV,81.32,moderate rain,-0.6,73.08,Scoop Guest House
157,Atuona,PF,81.7,overcast clouds,-9.8,-139.03,Villa Enata
189,San Cristobal,VE,80.6,haze,7.77,-72.22,Pirineos
204,Kavieng,PG,84.76,few clouds,-2.57,150.8,Nusa Island Retreat
214,Meulaboh,ID,80.76,clear sky,4.14,96.13,Kost Pria
224,Carutapera,BR,80.83,light rain,-1.2,-46.02,Lidera
242,Broken Hill,AU,82.4,clear sky,-31.95,141.43,Daydream Motel & Cottages
277,Vaitape,PF,82.06,light rain,-16.52,-151.75,Conrad Bora Bora Nui
283,Las Navas,PH,82.98,light rain,12.34,125.03,JMT SQUARE
287,Nicoya,CR,82.4,broken clouds,10.15,-85.45,Guayacan Real
290,Manaus,BR,80.6,broken clouds,-3.1,-60.02,Hotel do Largo
321,Phan Thiet,VN,86.59,clear sky,10.93,108.1,Hotel Saigon-PT
324,Sao Jose Da Coroa Grande,BR,81.68,light rain,-8.9,-35.15,Crôa Mares Hotel
328,Sembakung,ID,85.73,overcast clouds,3.82,117.25,
336,Nkhotakota,MW,80.73,overcast clouds,-12.93,34.3,Sitima Inn
345,Trat,TH,87.8,clear sky,12.5,102.5,สวนหนิง-อัศ
347,Shahapur,IN,84.99,smoke,19.45,73.33,Dr.Suhas Joshi
359,Fare,PF,82.11,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
368,Sabang,ID,83.5,light rain,5.89,95.32,Hotel Citra
369,Bodden Town,KY,80.6,few clouds,19.28,-81.25,Will T Place
374,Banda Aceh,ID,81.19,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
375,Faanui,PF,82.06,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
380,Manado,ID,84.2,scattered clouds,1.49,124.85,Aryaduta Hotel
383,Lorengau,PG,83.98,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
393,Tual,ID,82.33,light rain,-5.67,132.75,Grand Vilia Hotel
399,Wattegama,LK,82.4,broken clouds,6.8,81.48,
400,Ligayan,PH,82.15,scattered clouds,4.65,119.47,
403,Sorong,ID,89.42,light rain,-0.88,131.25,The Waigo Hotel
414,Anloga,GH,84.2,few clouds,5.79,0.9,BeatzWave Studios
419,Tiarei,PF,87.8,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
423,Karratha,AU,81.81,clear sky,-20.74,116.85,ibis Styles Karratha
431,Bengkulu,ID,86.7,clear sky,-3.8,102.27,Grage Hotel Bengkulu
443,Belmonte,BR,80.6,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
450,Kirakira,SB,83.82,light rain,-10.45,161.92,SanBiz Lodge
452,Nhulunbuy,AU,80.6,overcast clouds,-12.23,136.77,East Arnhem Real Estate
459,Olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
467,Mackay,AU,81.0,broken clouds,-21.15,149.2,International Lodge Motel
474,Waingapu,ID,80.98,light rain,-9.66,120.26,Pondok Wisata Elim
483,Maningrida,AU,89.13,light rain,-12.07,134.27,Dhukurrdji Lodge
512,Puerto Escondido,MX,82.4,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
513,Sola,VU,87.8,broken clouds,-13.88,167.55,Leumerus Bungalows
518,Bima,ID,81.82,light rain,-8.47,118.72,Lambitu Hotel
527,Tamandare,BR,81.68,light rain,-8.76,-35.1,Pousada 100 Passos
533,Denpasar,ID,87.8,scattered clouds,-8.65,115.22,Aston Denpasar Hotel & Convention Center
553,Port Blair,IN,81.46,clear sky,11.67,92.75,Fortune Resort Bay Island
554,Tema,GH,81.1,scattered clouds,5.67,-0.02,Beulah Royale
581,Coruripe,BR,80.24,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
