City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2020-02-20 01:50:55,-33.7,-53.46,67.8,88,0,4.56
1,Iqaluit,CA,2020-02-20 01:50:55,63.75,-68.51,-31.0,59,40,3.36
2,Zhuhai,CN,2020-02-20 01:46:04,22.28,113.57,66.99,82,20,6.93
3,Berlevag,NO,2020-02-20 01:50:56,70.86,29.09,31.59,66,100,21.52
4,Kiunga,PG,2020-02-20 01:50:56,-6.12,141.29,87.87,71,99,5.01
5,Sitka,US,2020-02-20 01:50:56,57.05,-135.33,39.2,86,90,9.17
6,Faanui,PF,2020-02-20 01:50:56,-16.48,-151.75,82.81,76,100,18.1
7,Ahipara,NZ,2020-02-20 01:50:56,-35.17,173.17,70.68,82,93,11.3
8,Sinnamary,GF,2020-02-20 01:50:56,5.38,-52.95,78.55,75,87,16.02
9,Tottori,JP,2020-02-20 01:48:45,35.5,134.23,44.6,75,75,5.82
10,Dingle,PH,2020-02-20 01:50:57,11.0,122.67,76.5,82,100,17.9
11,Bluff,NZ,2020-02-20 01:50:57,-46.6,168.33,71.33,51,100,7.43
12,Kutum,SD,2020-02-20 01:50:57,14.2,24.67,52.9,40,73,5.03
13,Rikitea,PF,2020-02-20 01:50:57,-23.12,-134.97,78.62,79,21,13.11
14,Beringovskiy,RU,2020-02-20 01:50:58,63.05,179.32,-11.72,85,0,18.63
15,Port Alfred,ZA,2020-02-20 01:50:58,-33.59,26.89,68.0,96,35,1.99
16,Port Macquarie,AU,2020-02-20 01:50:58,-31.43,152.92,82.0,44,40,6.93
17,Severo-Kurilsk,RU,2020-02-20 01:50:58,50.68,156.12,20.97,82,77,12.59
18,Myszkow,PL,2020-02-20 01:50:58,50.58,19.32,37.4,93,75,8.05
19,Ushuaia,AR,2020-02-20 01:50:59,-54.8,-68.3,48.2,81,75,27.51
20,Tarko-Sale,RU,2020-02-20 01:50:59,64.92,77.78,32.0,92,99,12.17
21,Ostersund,SE,2020-02-20 01:50:59,63.18,14.64,21.99,79,26,12.75
22,Butaritari,KI,2020-02-20 01:50:59,3.07,172.79,82.9,81,100,14.63
23,Kapaa,US,2020-02-20 01:50:59,22.08,-159.32,78.8,61,75,8.05
24,Sobolevo,RU,2020-02-20 01:50:59,54.43,31.9,34.81,89,100,7.78
25,Punta Arenas,CL,2020-02-20 01:51:00,-53.15,-70.92,48.2,68,75,17.22
26,Busselton,AU,2020-02-20 01:51:00,-33.65,115.33,84.0,29,0,12.97
27,Maryville,US,2020-02-20 01:46:21,35.76,-83.97,46.99,55,90,8.37
28,Kaitangata,NZ,2020-02-20 01:51:00,-46.28,169.85,62.01,80,86,11.01
29,Puerto Ayora,EC,2020-02-20 01:51:00,-0.74,-90.35,78.15,87,27,7.54
30,Port Elizabeth,ZA,2020-02-20 01:51:00,-33.92,25.57,66.2,93,70,4.7
31,Upernavik,GL,2020-02-20 01:51:01,72.79,-56.15,0.81,95,100,7.09
32,San Patricio,MX,2020-02-20 01:51:01,19.22,-104.7,80.6,74,20,11.41
33,Lata,PT,2020-02-20 01:51:01,40.16,-8.33,46.0,93,0,3.36
34,Port Lincoln,AU,2020-02-20 01:48:46,-34.73,135.87,63.32,60,100,9.95
35,Yabrud,SY,2020-02-20 01:51:02,33.97,36.66,44.6,93,39,11.41
36,Mar Del Plata,AR,2020-02-20 01:51:02,-38.0,-57.56,64.0,63,40,8.05
37,Caravelas,BR,2020-02-20 01:51:02,-17.71,-39.25,80.56,83,0,10.11
38,Cape Town,ZA,2020-02-20 01:50:31,-33.93,18.42,70.0,100,75,16.11
